,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales
1739161,19/04/2018,Vente,"204000,00",44.0,RUE,3500,FAVART D HERBIGNY,51100.0,REIMS,51,454,CV,873,0,2.0,Appartement,54.0,2.0
1739163,19/04/2018,Vente,"204000,00",44.0,RUE,3500,FAVART D HERBIGNY,51100.0,REIMS,51,454,CV,873,0,2.0,Appartement,25.0,1.0
1739164,19/04/2018,Vente,"204000,00",44.0,RUE,3500,FAVART D HERBIGNY,51100.0,REIMS,51,454,CV,873,0,2.0,Appartement,21.0,1.0
1739165,19/04/2018,Vente,"204000,00",44.0,RUE,3500,FAVART D HERBIGNY,51100.0,REIMS,51,454,CV,873,0,2.0,Appartement,21.0,1.0
1739166,19/04/2018,Vente,"204000,00",44.0,RUE,3500,FAVART D HERBIGNY,51100.0,REIMS,51,454,CV,873,0,2.0,Appartement,25.0,2.0
1739171,12/04/2018,Vente,"120000,00",26.0,RUE,1740,CHANZY,51100.0,REIMS,51,454,IK,74,1,2.0,Appartement,30.0,2.0
1739172,12/04/2018,Vente,"120000,00",26.0,RUE,1740,CHANZY,51100.0,REIMS,51,454,IK,74,1,2.0,Appartement,30.0,2.0
1739173,12/04/2018,Vente,"121000,00",26.0,RUE,1740,CHANZY,51100.0,REIMS,51,454,IK,74,1,2.0,Appartement,30.0,1.0
1739176,16/04/2018,Vente,"167000,00",15.0,RUE,8720,TOURNEBONNEAU,51100.0,REIMS,51,454,DM,630,2,2.0,Appartement,85.0,4.0
1739179,10/04/2018,Vente,"270000,00",13.0,BD,5680,LUNDY,51100.0,REIMS,51,454,BE,41,2,2.0,Appartement,126.0,4.0
1739180,30/03/2018,Vente,"420000,00",125.0,RUE,9040,DE VESLE,51100.0,REIMS,51,454,IK,1346,1,2.0,Appartement,189.0,6.0
1739182,03/04/2018,Vente,"68000,00",84.0,RUE,3000,DOCTEUR THOMAS,51100.0,REIMS,51,454,AW,267,3,2.0,Appartement,38.0,2.0
1739194,11/04/2018,Vente,"52000,00",11.0,PL,8711,TOULOUSE LAUTREC,51100.0,REIMS,51,454,KR,27,1,2.0,Appartement,30.0,1.0
1739196,05/04/2018,Vente,"82569,00",31.0,RUE,4160,DE LA GOULETTE,51100.0,REIMS,51,454,BL,469,2,2.0,Appartement,71.0,3.0
1739201,13/04/2018,Vente,"69000,00",50.0,RUE,7160,PONSARDIN,51100.0,REIMS,51,454,CX,152,1,2.0,Appartement,20.0,1.0
1739204,20/04/2018,Vente,"43000,00",21.0,AV,4455,HENRI FARMAN,51100.0,REIMS,51,454,DH,90,1,2.0,Appartement,17.0,1.0
1739206,12/04/2018,Vente,"85000,00",34.0,RUE,3280,EMILE ZOLA,51100.0,REIMS,51,454,AW,403,2,2.0,Appartement,123.0,1.0
1739207,04/04/2018,Vente,"136100,00",86.0,RUE,4150,GOSSET,51100.0,REIMS,51,454,BC,153,2,2.0,Appartement,61.0,3.0
1739211,11/04/2018,Vente,"80000,00",60.0,RUE,4560,HINCMAR,51100.0,REIMS,51,454,IK,758,2,2.0,Appartement,25.0,1.0
1739212,11/04/2018,Vente,"70000,00",209.0,RUE,0600,DU BARBATRE,51100.0,REIMS,51,454,CZ,251,1,2.0,Appartement,22.0,1.0
1739213,11/04/2018,Vente,"117000,00",209.0,RUE,0600,DU BARBATRE,51100.0,REIMS,51,454,CZ,251,1,2.0,Appartement,44.0,3.0
1739214,16/04/2018,Vente,"38500,00",20.0,RUE,2975,DR LUCIEN BETTINGER,51100.0,REIMS,51,454,AE,262,2,2.0,Appartement,31.0,1.0
1739216,06/04/2018,Vente,"95400,00",36.0,ALL,4790,DES JARDINS,51100.0,REIMS,51,454,AS,93,0,1.0,Maison,25.0,2.0
1739224,17/04/2018,Vente,"520000,00",78.0,RUE,4740,JACQUART,51100.0,REIMS,51,454,BI,580,0,1.0,Maison,105.0,6.0
1739228,12/04/2018,Vente,"140000,00",75.0,BD,6790,PAUL DOUMER,51100.0,REIMS,51,454,IK,335,2,2.0,Appartement,95.0,4.0
1739230,17/04/2018,Vente,"62000,00",27.0,RUE,1870,DE CHATIVESLE,51100.0,REIMS,51,454,IM,493,1,2.0,Appartement,29.0,2.0
1739238,04/04/2018,Vente,"432500,00",113.0,RUE,9040,DE VESLE,51100.0,REIMS,51,454,IK,1347,1,2.0,Appartement,129.0,5.0
1739239,17/04/2018,Vente,"446700,00",16.0,RUE,3340,DE L EQUERRE,51100.0,REIMS,51,454,CY,648,1,2.0,Appartement,146.0,6.0
1739242,09/04/2018,Vente,"267800,00",6.0,RUE,9090,VICTOR ROGELET,51100.0,REIMS,51,454,AW,468,0,1.0,Maison,120.0,4.0
1739243,17/04/2018,Vente,"320000,00",113.0,RUE,9040,DE VESLE,51100.0,REIMS,51,454,IK,1347,1,2.0,Appartement,86.0,3.0
1739250,17/04/2018,Vente,"99000,00",14.0,RUE,8480,DE TAISSY,51100.0,REIMS,51,454,DK,233,2,2.0,Appartement,69.0,4.0
1739253,16/04/2018,Vente en l'état futur d'achèvement,"219000,00",36.0,RUE,7580,ROGER SALENGRO,51100.0,REIMS,51,454,AX,43,1,2.0,Appartement,66.0,3.0
1739256,13/04/2018,Vente,"85000,00",21.0,RUE,9210,DE WITRY,51100.0,REIMS,51,454,CT,186,2,2.0,Appartement,49.0,2.0
1739262,09/04/2018,Vente,"125000,00",23.0,BD,0710,DES BELGES,51100.0,REIMS,51,454,AM,89,1,2.0,Appartement,116.0,5.0
1739271,19/04/2018,Vente,"212000,00",11.0,RUE,3838,GALILEE,51100.0,REIMS,51,454,KS,62,0,1.0,Maison,101.0,5.0
1739275,09/04/2018,Vente,"98000,00",9.0,RUE,1730,CHANTERAINE,51100.0,REIMS,51,454,DM,634,2,2.0,Appartement,67.0,3.0
1739280,30/03/2018,Vente,"239400,00",47.0,RUE,8560,DES TELLIERS,51100.0,REIMS,51,454,IL,293,1,2.0,Appartement,98.0,3.0
1739283,04/04/2018,Vente,"145000,00",34.0,RUE,7026,PIERRE DE MARIVAUX,51100.0,REIMS,51,454,EX,502,1,2.0,Appartement,66.0,2.0
1739301,26/04/2018,Vente,"205000,00",57.0,RUE,9210,DE WITRY,51100.0,REIMS,51,454,CT,172,0,1.0,Maison,107.0,4.0
1739309,30/03/2018,Vente,"223000,00",27.0,PL,4022,GEORGES MELIES,51100.0,REIMS,51,454,EZ,254,0,1.0,Maison,122.0,5.0
1739318,20/04/2018,Vente en l'état futur d'achèvement,"230500,00",,RUE,5891,MARCEL THIL,51100.0,REIMS,51,454,AV,1082,1,2.0,Appartement,58.0,3.0
1739320,25/04/2018,Vente,"60000,00",5.0,PL,5900,MARGUERITE ROUSSELET,51100.0,REIMS,51,454,BI,662,2,2.0,Appartement,29.0,1.0
1739322,09/04/2018,Vente,"250000,00",15.0,RUE,8620,THIERS,51100.0,REIMS,51,454,IL,400,2,2.0,Appartement,97.0,5.0
1739324,18/04/2018,Vente,"143500,00",22.0,RUE,7720,DU RUISSELET,51100.0,REIMS,51,454,DM,663,2,2.0,Appartement,78.0,4.0
1739325,16/04/2018,Vente,"140000,00",43.0,RUE,9283,YVES BEAUMONT,51100.0,REIMS,51,454,AH,326,0,1.0,Maison,87.0,4.0
1739326,12/04/2018,Vente en l'état futur d'achèvement,"296000,00",32.0,RUE,8270,DE SEBASTOPOL,51100.0,REIMS,51,454,BK,356,1,2.0,Appartement,70.0,3.0
1739330,16/04/2018,Vente,"136000,00",11.0,RUE,1730,CHANTERAINE,51100.0,REIMS,51,454,DM,634,2,2.0,Appartement,79.0,4.0
1739331,13/04/2018,Vente,"238800,00",48.0,RUE,7710,RUINART DE BRIMONT,51100.0,REIMS,51,454,CW,156,1,2.0,Appartement,106.0,5.0
1739333,12/04/2018,Vente en l'état futur d'achèvement,"167800,00",32.0,RUE,8270,DE SEBASTOPOL,51100.0,REIMS,51,454,BK,356,1,2.0,Appartement,44.0,2.0
1739341,17/04/2018,Vente,"78000,00",4.0,RUE,4220,GRANDVAL,51100.0,REIMS,51,454,CL,985,1,2.0,Appartement,47.0,3.0
1739348,10/04/2018,Vente,"134500,00",13.0,RUE,3500,FAVART D HERBIGNY,51100.0,REIMS,51,454,CV,902,1,2.0,Appartement,55.0,3.0
1739349,16/04/2018,Vente,"42450,00",255.0,RUE,2440,DE COURLANCY,51100.0,REIMS,51,454,DN,547,1,2.0,Appartement,30.0,1.0
1739356,17/04/2018,Vente,"93000,00",15.0,RUE,1030,DE LA BONNE FEMME,51100.0,REIMS,51,454,DO,242,2,2.0,Appartement,65.0,3.0
1739357,26/04/2018,Vente,"105000,00",71.0,RUE,8950,DE VENISE,51100.0,REIMS,51,454,CY,440,2,2.0,Appartement,49.0,3.0
1739360,24/04/2018,Vente,"36000,00",6.0,RUE,0150,D ALGER,51100.0,REIMS,51,454,CS,25,1,2.0,Appartement,22.0,1.0
1739371,26/04/2018,Vente,"49000,00",17.0,RUE,0820,DE BERRU,51100.0,REIMS,51,454,CV,812,1,2.0,Appartement,22.0,1.0
1739374,24/04/2018,Vente,"217000,00",2.0,RUE,7060,PIPER,51100.0,REIMS,51,454,CW,706,1,2.0,Appartement,153.0,4.0
1739412,16/04/2018,Vente,"86200,00",11.0,RUE,9090,VICTOR ROGELET,51100.0,REIMS,51,454,AW,159,1,2.0,Appartement,41.0,2.0
1739414,23/04/2018,Vente,"95000,00",8.0,RUE,0254,ANDRE FAIVRE,51100.0,REIMS,51,454,KP,30,1,2.0,Appartement,69.0,3.0
1739418,16/04/2018,Vente,"70000,00",96.0,AV,3320,D EPERNAY,51100.0,REIMS,51,454,HW,387,2,2.0,Appartement,37.0,1.0
1739419,30/04/2018,Vente,"68200,00",22.0,RUE,3048,DUMONT D URVILLE,51100.0,REIMS,51,454,ET,199,2,2.0,Appartement,72.0,3.0
1739421,25/04/2018,Vente,"213000,00",6.0,RUE,5540,LINGUET,51100.0,REIMS,51,454,BE,241,1,2.0,Appartement,79.0,3.0
1739422,25/04/2018,Vente,"213000,00",6.0,RUE,5540,LINGUET,51100.0,REIMS,51,454,BE,241,1,2.0,Appartement,75.0,3.0
1739426,24/04/2018,Vente,"128800,00",70.0,RUE,0600,DU BARBATRE,51100.0,REIMS,51,454,CY,253,2,2.0,Appartement,55.0,1.0
1739428,20/04/2018,Vente,"44000,00",15.0,RUE,7650,DE ROUBAIX,51100.0,REIMS,51,454,DO,364,1,2.0,Appartement,21.0,1.0
1739430,19/04/2018,Vente,"210000,00",49.0,RUE,1620,CHABAUD,51100.0,REIMS,51,454,IK,714,1,2.0,Appartement,96.0,4.0
1739439,20/04/2018,Vente,"130000,00",70.0,PROM,6867,DU PEIGNAGE,51100.0,REIMS,51,454,CT,533,1,2.0,Appartement,46.0,2.0
1739443,23/04/2018,Vente,"113000,00",28.0,ESP,3590,FLECHAMBAULT,51100.0,REIMS,51,454,DM,631,2,2.0,Appartement,73.0,3.0
1739444,04/04/2018,Vente,"43500,00",17.0,RUE,7090,PLUMET FOLLIART,51100.0,REIMS,51,454,AV,481,1,2.0,Appartement,31.0,1.0
1739446,20/04/2018,Vente,"164000,00",7.0,RUE,4100,DES GOBELINS,51100.0,REIMS,51,454,CV,979,2,2.0,Appartement,81.0,3.0
1739447,16/04/2018,Vente en l'état futur d'achèvement,"229900,00",,RUE,5891,MARCEL THIL,51100.0,REIMS,51,454,AV,1082,1,2.0,Appartement,70.0,3.0
1739452,04/04/2018,Vente,"114300,00",42.0,RUE,0630,DU BASTION,51100.0,REIMS,51,454,CW,279,1,2.0,Appartement,47.0,2.0
1739454,26/04/2018,Vente,"135000,00",27.0,BD,6690,DE LA PAIX,51100.0,REIMS,51,454,CK,128,2,2.0,Appartement,72.0,3.0
1739455,12/04/2018,Vente,"123120,00",22.0,RUE,2190,DU COLONEL MOLL,51100.0,REIMS,51,454,AX,616,2,2.0,Appartement,65.0,3.0
1739457,12/04/2018,Vente,"290000,00",9.0,RUE,7577,RUE ROGER RAULET,51100.0,REIMS,51,454,EZ,913,0,1.0,Maison,142.0,6.0
1739460,30/04/2018,Vente,"124000,00",6.0,RUE,8320,DE SILLERY,51100.0,REIMS,51,454,CI,116,1,2.0,Appartement,72.0,3.0
1739462,30/04/2018,Vente,"54000,00",5.0,RUE,4307,GUILLAUME APOLLINAIRE,51100.0,REIMS,51,454,KP,30,1,2.0,Appartement,44.0,1.0
1739464,27/04/2018,Vente,"272500,00",98.0,RUE,1390,DES CAPUCINS,51100.0,REIMS,51,454,IK,271,0,2.0,Appartement,53.0,3.0
1739465,27/04/2018,Vente,"272500,00",98.0,RUE,1390,DES CAPUCINS,51100.0,REIMS,51,454,IK,271,0,2.0,Appartement,64.0,3.0
1739473,17/04/2018,Vente,"140000,00",24.0,RUE,6864,PAYEN,51100.0,REIMS,51,454,HZ,20,2,2.0,Appartement,51.0,3.0
1739474,27/04/2018,Vente,"90000,00",40.0,RUE,7440,RENE BOURGEOIS,51100.0,REIMS,51,454,HX,345,0,2.0,Appartement,38.0,2.0
1739475,27/04/2018,Vente,"90000,00",40.0,RUE,7440,RENE BOURGEOIS,51100.0,REIMS,51,454,HX,345,0,2.0,Appartement,31.0,2.0
1739476,27/04/2018,Vente,"90000,00",40.0,RUE,7440,RENE BOURGEOIS,51100.0,REIMS,51,454,HX,345,0,2.0,Appartement,34.0,1.0
1739477,17/04/2018,Vente,"227000,00",10.0,RUE,3010,DOM PERIGNON,51100.0,REIMS,51,454,CV,988,0,1.0,Maison,83.0,6.0
1739479,30/04/2018,Vente,"151000,00",4.0,RUE,5290,LANTIOME,51100.0,REIMS,51,454,CL,120,2,2.0,Appartement,55.0,3.0
1739483,13/04/2018,Vente,"137000,00",9.0,RUE,9240,WARNIER,51100.0,REIMS,51,454,BH,284,2,2.0,Appartement,52.0,2.0
1739486,16/04/2018,Vente,"122800,00",39.0,RUE,0330,ANTOINE GOUSSIEZ,51100.0,REIMS,51,454,AM,769,1,2.0,Appartement,48.0,2.0
1739491,20/04/2018,Vente,"56500,00",73.0,RUE,7160,PONSARDIN,51100.0,REIMS,51,454,CY,627,1,2.0,Appartement,21.0,1.0
1739494,12/04/2018,Vente,"124000,00",240.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AX,462,2,2.0,Appartement,78.0,4.0
1739498,16/04/2018,Vente,"168150,00",21.0,RUE,0550,BACQUENOIS,51100.0,REIMS,51,454,IM,261,2,2.0,Appartement,51.0,2.0
1739500,17/04/2018,Vente,"340350,00",2.0,RUE,1390,DES CAPUCINS,51100.0,REIMS,51,454,IK,922,1,2.0,Appartement,110.0,4.0
1739508,18/04/2018,Vente,"83000,00",113.0,RUE,3570,DE FISMES,51100.0,REIMS,51,454,AR,573,3,2.0,Appartement,37.0,2.0
1739511,20/04/2018,Vente,"193000,00",17.0,RUE,8710,DE TOULOUSE,51100.0,REIMS,51,454,DR,439,0,1.0,Maison,62.0,4.0
1739513,26/04/2018,Vente,"254000,00",110.0,RUE,7010,PIERRE BROSSOLETTE,51100.0,REIMS,51,454,AO,868,0,1.0,Maison,115.0,4.0
1739514,20/04/2018,Vente,"96000,00",12.0,RUE,8330,SIMON,51100.0,REIMS,51,454,DM,637,1,2.0,Appartement,46.0,2.0
1739515,23/04/2018,Vente,"149000,00",25.0,RUE,5810,MAILLEFER,51100.0,REIMS,51,454,AV,859,1,2.0,Appartement,52.0,4.0
1739520,19/04/2018,Vente,"170000,00",13.0,RUE,8320,DE SILLERY,51100.0,REIMS,51,454,CK,43,2,2.0,Appartement,78.0,3.0
1739523,23/04/2018,Vente,"64070,00",11.0,RUE,6230,DU MONT D ARENE,51100.0,REIMS,51,454,AT,91,2,1.0,Maison,31.0,2.0
1739524,19/04/2018,Vente,"157700,00",10.0,RUE,7790,DE ST BRICE,51100.0,REIMS,51,454,AT,181,0,1.0,Maison,92.0,3.0
1739530,19/04/2018,Vente,"85000,00",6.0,RUE,8480,DE TAISSY,51100.0,REIMS,51,454,DK,184,1,2.0,Appartement,65.0,3.0
1739534,24/04/2018,Vente,"135000,00",67.0,RUE,1830,CHARLIER,51100.0,REIMS,51,454,BI,627,2,2.0,Appartement,72.0,4.0
1739540,25/04/2018,Vente,"150400,00",13.0,RUE,7090,PLUMET FOLLIART,51100.0,REIMS,51,454,AV,858,1,2.0,Appartement,86.0,3.0
1739541,16/04/2018,Vente,"199000,00",37.0,PL,5700,LUTON,51100.0,REIMS,51,454,AX,564,0,1.0,Maison,90.0,4.0
