,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales
1738533,30/03/2018,Vente,"459000,00",22.0,RUE,5825,DE LA MAISON BLANCHE,51100.0,REIMS,51,454,DO,271,0,1.0,Maison,100.0,5.0
1738536,29/03/2018,Vente,"87000,00",68.0,RUE,6230,DU MONT D ARENE,51100.0,REIMS,51,454,AV,389,1,2.0,Appartement,75.0,3.0
1738537,03/04/2018,Vente,"30000,00",58.0,RUE,6230,DU MONT D ARENE,51100.0,REIMS,51,454,AV,385,3,2.0,Appartement,30.0,2.0
1738538,15/03/2018,Vente,"109870,00",10.0,RUE,4035,GERARD PHILIPE,51100.0,REIMS,51,454,CI,70,2,2.0,Appartement,45.0,2.0
1738541,19/03/2018,Vente,"69000,00",14.0,RUE,3000,DOCTEUR THOMAS,51100.0,REIMS,51,454,AW,363,2,2.0,Appartement,21.0,1.0
1738544,05/04/2018,Vente,"45000,00",13.0,BD,6790,PAUL DOUMER,51100.0,REIMS,51,454,HZ,22,1,2.0,Appartement,19.0,1.0
1738546,29/03/2018,Vente,"106800,00",213.0,AV,4900,JEAN JAURES,51100.0,REIMS,51,454,BK,274,2,2.0,Appartement,62.0,3.0
1738550,29/03/2018,Vente,"135000,00",37.0,RUE,4160,DE LA GOULETTE,51100.0,REIMS,51,454,BL,624,1,2.0,Appartement,118.0,5.0
1738551,22/03/2018,Vente en l'état futur d'achèvement,"148000,00",65.0,RUE,6230,DU MONT D ARENE,51100.0,REIMS,51,454,AT,9,1,2.0,Appartement,40.0,2.0
1738552,23/03/2018,Vente,"86000,00",48.0,RUE,4070,GERUZEZ,51100.0,REIMS,51,454,AR,155,1,2.0,Appartement,45.0,3.0
1738554,16/03/2018,Vente,"148000,00",7.0,RUE,0010,ABBE DE L EPEE,51100.0,REIMS,51,454,IK,288,2,2.0,Appartement,72.0,3.0
1738555,22/03/2018,Vente,"260500,00",16.0,RUE,5630,LOUIS ROUYER,51100.0,REIMS,51,454,CO,419,0,1.0,Maison,99.0,5.0
1738556,20/03/2018,Vente,"87000,00",1.0,,3915,GPE GENERAL EISENHOWER,51100.0,REIMS,51,454,HS,215,1,2.0,Appartement,96.0,5.0
1738557,20/03/2018,Vente,"87000,00",1.0,,3915,GPE GENERAL EISENHOWER,51100.0,REIMS,51,454,HS,215,1,2.0,Appartement,96.0,5.0
1738558,26/03/2018,Vente,"158000,00",9.0,RUE,7440,RENE BOURGEOIS,51100.0,REIMS,51,454,HX,342,0,1.0,Maison,105.0,6.0
1738562,19/03/2018,Vente,"113000,00",229.0,RUE,2440,DE COURLANCY,51100.0,REIMS,51,454,DN,229,1,2.0,Appartement,57.0,3.0
1738563,30/03/2018,Vente,"277408,00",31.0,RUE,9090,VICTOR ROGELET,51100.0,REIMS,51,454,AW,169,0,1.0,Maison,104.0,6.0
1738565,20/03/2018,Vente,"202000,00",29.0,BD,3640,FOCH,51100.0,REIMS,51,454,IL,476,1,2.0,Appartement,72.0,3.0
1738567,28/03/2018,Vente,"342250,00",6.0,BD,5010,JOFFRE,51100.0,REIMS,51,454,AT,127,2,2.0,Appartement,60.0,3.0
1738568,28/03/2018,Vente,"342250,00",6.0,BD,5010,JOFFRE,51100.0,REIMS,51,454,AT,127,2,2.0,Appartement,93.0,1.0
1738574,19/03/2018,Vente,"91400,00",16.0,RUE,5895,MARECHAL GALLIENI,51100.0,REIMS,51,454,AH,609,1,2.0,Appartement,47.0,2.0
1738580,29/03/2018,Vente,"210000,00",9.0,RUE,4743,JACQUELINE QUIRIN,51100.0,REIMS,51,454,BO,245,0,1.0,Maison,83.0,2.0
1738586,30/03/2018,Vente,"650000,00",9.0,RUE,1460,DES CARMES,51100.0,REIMS,51,454,CZ,376,0,1.0,Maison,160.0,7.0
1738589,23/03/2018,Vente,"211500,00",42.0,BD,1800,CHARLES ARNOULD,51100.0,REIMS,51,454,AN,206,4,2.0,Appartement,124.0,6.0
1738592,29/03/2018,Vente en l'état futur d'achèvement,"220000,00",65.0,RUE,6230,DU MONT D ARENE,51100.0,REIMS,51,454,AT,9,1,2.0,Appartement,60.0,3.0
1738594,06/04/2018,Vente,"305000,00",24.0,RUE,5260,LAMOUCHE,51100.0,REIMS,51,454,AV,688,0,1.0,Maison,136.0,6.0
1738595,15/03/2018,Vente,"90500,00",56.0,RUE,1590,DE CERNAY,51100.0,REIMS,51,454,CW,403,1,2.0,Appartement,57.0,2.0
1738596,23/03/2018,Vente,"163000,00",6.0,RUE,6450,NAZAIRE FRANQUET,51100.0,REIMS,51,454,BC,187,0,1.0,Maison,65.0,4.0
1738597,23/03/2018,Vente,"95000,00",4.0,RUE,8480,DE TAISSY,51100.0,REIMS,51,454,DK,184,2,2.0,Appartement,78.0,4.0
1738599,28/03/2018,Vente,"156000,00",26.0,RUE,6485,NEWTON,51100.0,REIMS,51,454,KS,1,1,1.0,Maison,80.0,4.0
1738600,22/03/2018,Vente,"105000,00",217.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AV,846,2,2.0,Appartement,60.0,3.0
1738603,28/03/2018,Vente,"107000,00",5.0,RUE,2760,DESBUREAUX,51100.0,REIMS,51,454,AL,402,2,2.0,Appartement,71.0,3.0
1738606,28/03/2018,Vente en l'état futur d'achèvement,"176000,00",40.0,RUE,7790,DE ST BRICE,51100.0,REIMS,51,454,AT,247,1,2.0,Appartement,46.0,2.0
1738608,28/03/2018,Vente,"103000,00",3.0,RUE,8290,16E ET 22E DRAGONS,51100.0,REIMS,51,454,CK,16,4,1.0,Maison,83.0,5.0
1738610,29/03/2018,Vente,"205000,00",36.0,RUE,1360,CAMILLE LENOIR,51100.0,REIMS,51,454,BH,162,2,2.0,Appartement,93.0,4.0
1738617,16/03/2018,Vente,"314530,00",55.0,AV,4900,JEAN JAURES,51100.0,REIMS,51,454,BH,209,1,2.0,Appartement,127.0,4.0
1738618,29/03/2018,Vente,"118000,00",1.0,RUE,5360,LEGENDRE,51100.0,REIMS,51,454,BE,81,1,2.0,Appartement,42.0,3.0
1738625,09/04/2018,Vente,"110000,00",9.0,RUE,6360,DES MURS,51100.0,REIMS,51,454,CX,271,1,2.0,Appartement,54.0,3.0
1738626,16/03/2018,Vente,"153000,00",52.0,RUE,1390,DES CAPUCINS,51100.0,REIMS,51,454,IK,1361,1,2.0,Appartement,62.0,3.0
1738630,19/03/2018,Vente,"185000,00",23.0,RUE,7890,ST JEAN CESAREE,51100.0,REIMS,51,454,CZ,45,1,1.0,Maison,58.0,3.0
1738631,19/03/2018,Vente,"177000,00",11.0,RUE,8580,DES TEMPLIERS,51100.0,REIMS,51,454,BH,528,2,2.0,Appartement,90.0,4.0
1738633,28/03/2018,Vente,"127200,00",158.0,RUE,9040,DE VESLE,51100.0,REIMS,51,454,IM,239,2,2.0,Appartement,88.0,2.0
1738634,16/03/2018,Vente,"155000,00",9.0,AV,4900,JEAN JAURES,51100.0,REIMS,51,454,BH,265,3,2.0,Appartement,77.0,4.0
1738636,30/03/2018,Vente,"46000,00",59.0,RUE,6230,DU MONT D ARENE,51100.0,REIMS,51,454,AT,16,2,2.0,Appartement,20.0,1.0
1738639,30/03/2018,Vente,"125000,00",113.0,RUE,2560,CROIX ST MARC,51100.0,REIMS,51,454,CV,246,2,2.0,Appartement,56.0,2.0
1738642,30/03/2018,Vente,"92800,00",58.0,RUE,3000,DOCTEUR THOMAS,51100.0,REIMS,51,454,AW,278,1,2.0,Appartement,49.0,3.0
1738645,04/04/2018,Vente,"66000,00",340.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AM,837,2,2.0,Appartement,34.0,2.0
1738646,03/04/2018,Vente,"49000,00",2.0,BD,1510,CARTERET,51100.0,REIMS,51,454,CW,303,2,2.0,Appartement,25.0,1.0
1738649,13/02/2018,Vente,"600000,00",1.0,PL,0380,ARISTIDE BRIAND,51100.0,REIMS,51,454,BE,53,1,2.0,Appartement,65.0,4.0
1738667,03/04/2018,Vente,"273000,00",8.0,RUE,7090,PLUMET FOLLIART,51100.0,REIMS,51,454,AV,1076,0,1.0,Maison,113.0,5.0
1738678,09/04/2018,Vente,"70000,00",331.0,AV,5300,DE LAON,51100.0,REIMS,51,454,AN,654,2,2.0,Appartement,50.0,3.0
1738679,11/04/2018,Vente,"72500,00",59.0,RUE,1360,CAMILLE LENOIR,51100.0,REIMS,51,454,BH,64,1,2.0,Appartement,27.0,1.0
1738683,30/03/2018,Vente,"182400,00",9.0,RUE,4930,JEAN MERMOZ,51100.0,REIMS,51,454,CO,261,0,1.0,Maison,117.0,6.0
1738687,30/03/2018,Vente,"350000,00",6.0,RUE,4890,JEAN JACQUES ROUSSEAU,51100.0,REIMS,51,454,BE,260,3,2.0,Appartement,140.0,4.0
1738688,23/03/2018,Vente,"130000,00",12.0,RUE,8230,DES SALINES,51100.0,REIMS,51,454,CZ,181,2,2.0,Appartement,66.0,3.0
1738691,29/03/2018,Vente,"117500,00",150.0,RUE,6830,P VAILLANT COUTURIER,51100.0,REIMS,51,454,AN,174,2,2.0,Appartement,64.0,3.0
1738692,03/04/2018,Vente,"172000,00",11.0,RUE,6980,DE PHILIPPEVILLE,51100.0,REIMS,51,454,BL,91,0,1.0,Maison,89.0,4.0
1738693,23/03/2018,Vente,"190000,00",17.0,RUE,7400,RAYMOND GUYOT,51100.0,REIMS,51,454,BI,748,2,2.0,Appartement,103.0,4.0
1738704,30/03/2018,Vente,"199500,00",45.0,RUE,0931,BLAISE CENDRARS,51100.0,REIMS,51,454,HK,61,0,1.0,Maison,79.0,4.0
1738720,30/03/2018,Vente,"170000,00",50.0,RUE,4770,DU JARD,51100.0,REIMS,51,454,IK,510,0,1.0,Maison,55.0,3.0
1738722,22/03/2018,Vente,"60000,00",255.0,RUE,2440,DE COURLANCY,51100.0,REIMS,51,454,DN,547,1,2.0,Appartement,23.0,1.0
1738724,04/04/2018,Vente,"84000,00",57.0,RUE,1360,CAMILLE LENOIR,51100.0,REIMS,51,454,BH,63,1,2.0,Appartement,67.0,2.0
1738729,16/03/2018,Vente,"28500,00",1.0,RUE,0410,DE L ARQUEBUSE,51100.0,REIMS,51,454,IM,312,1,2.0,Appartement,18.0,1.0
1738740,21/03/2018,Vente,"122000,00",9.0,RUE,6130,MENNESSON TONNELIER,51100.0,REIMS,51,454,AW,263,3,2.0,Appartement,60.0,2.0
1738746,29/03/2018,Vente en l'état futur d'achèvement,"707000,00",25.0,RUE,3210,DES ELUS,51100.0,REIMS,51,454,IL,117,2,2.0,Appartement,102.0,3.0
1738747,30/03/2018,Vente,"305000,00",13.0,BD,5680,LUNDY,51100.0,REIMS,51,454,BE,41,2,2.0,Appartement,97.0,3.0
1738749,05/04/2018,Vente,"139500,00",6.0,RUE,3987,GEORGES BERNANOS,51100.0,REIMS,51,454,HV,978,2,2.0,Appartement,92.0,5.0
1738752,30/03/2018,Vente,"69000,00",107.0,RUE,1590,DE CERNAY,51100.0,REIMS,51,454,CV,616,1,2.0,Appartement,30.0,1.0
1738753,04/04/2018,Vente,"107000,00",6.0,RUE,7160,PONSARDIN,51100.0,REIMS,51,454,CX,69,1,2.0,Appartement,27.0,1.0
1738755,30/03/2018,Vente,"165000,00",60.0,PL,3040,DROUET D ERLON,51100.0,REIMS,51,454,IL,337,1,2.0,Appartement,57.0,2.0
1738759,04/04/2018,Vente,"56000,00",68.0,RUE,3500,FAVART D HERBIGNY,51100.0,REIMS,51,454,CV,887,1,2.0,Appartement,28.0,1.0
1738766,26/03/2018,Vente,"250450,00",10.0,RUE,3752,FRANCISCO GOYA,51100.0,REIMS,51,454,EZ,988,0,1.0,Maison,81.0,4.0
1738772,03/04/2018,Vente,"61000,00",6.0,RUE,4220,GRANDVAL,51100.0,REIMS,51,454,CL,984,1,2.0,Appartement,34.0,2.0
1738787,23/03/2018,Vente,"332000,00",71.0,RUE,9040,DE VESLE,51100.0,REIMS,51,454,IK,922,1,2.0,Appartement,110.0,5.0
1738796,30/03/2018,Vente,"598400,00",14.0,RUE,0550,BACQUENOIS,51100.0,REIMS,51,454,IM,279,0,1.0,Maison,198.0,5.0
1738808,04/04/2018,Vente,"115000,00",4.0,RUE,8603,THEODORE GERICAULT,51100.0,REIMS,51,454,AE,296,2,2.0,Appartement,86.0,4.0
1738809,09/04/2018,Vente,"215000,00",3.0,PL,6810,PAUL JAMOT,51100.0,REIMS,51,454,CX,112,2,2.0,Appartement,79.0,4.0
1738811,29/03/2018,Vente,"56500,00",22.0,RUE,4560,HINCMAR,51100.0,REIMS,51,454,IK,61,1,2.0,Appartement,19.0,1.0
1738813,23/03/2018,Vente,"73000,00",23.0,RUE,6160,DE METZ,51100.0,REIMS,51,454,CV,495,1,2.0,Appartement,29.0,2.0
1738815,05/04/2018,Vente,"230500,00",9.0,AV,5015,JOHN KENNEDY NEUV,51100.0,REIMS,51,454,KK,720,0,1.0,Maison,98.0,4.0
1738827,22/03/2018,Vente,"74000,00",1.0,RUE,8290,16E ET 22E DRAGONS,51100.0,REIMS,51,454,CK,17,1,2.0,Appartement,31.0,1.0
1738830,06/04/2018,Vente,"240000,00",118.0,RUE,7580,ROGER SALENGRO,51100.0,REIMS,51,454,AM,135,0,1.0,Maison,100.0,4.0
1738831,06/04/2018,Vente,"240000,00",118.0,RUE,7580,ROGER SALENGRO,51100.0,REIMS,51,454,AM,135,0,1.0,Maison,100.0,4.0
1738833,12/04/2018,Vente,"65500,00",3.0,RUE,5930,MARIE STUART,51100.0,REIMS,51,454,CX,254,1,2.0,Appartement,20.0,1.0
1738842,20/03/2018,Vente,"255019,00",34.0,RUE,5650,DE LOUVOIS,51100.0,REIMS,51,454,DV,364,0,1.0,Maison,105.0,5.0
1738888,10/04/2018,Vente,"166000,00",115.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AY,494,1,2.0,Appartement,60.0,3.0
1738893,05/04/2018,Vente,"208750,00",2.0,AV,3913,DU GENERAL DE GAULLE,51100.0,REIMS,51,454,HX,547,1,2.0,Appartement,88.0,4.0
1738897,13/04/2018,Vente,"270000,00",89.0,RUE,1360,CAMILLE LENOIR,51100.0,REIMS,51,454,BI,548,0,1.0,Maison,84.0,4.0
1738905,09/04/2018,Vente,"162000,00",75.0,BD,7140,POMMERY,51100.0,REIMS,51,454,CH,655,0,1.0,Maison,73.0,4.0
1738913,11/04/2018,Vente,"193000,00",26.0,RUE,8430,DE STRASBOURG,51100.0,REIMS,51,454,CV,950,1,2.0,Appartement,50.0,2.0
1738915,11/04/2018,Vente,"193000,00",26.0,RUE,8430,DE STRASBOURG,51100.0,REIMS,51,454,CV,950,1,2.0,Appartement,20.0,1.0
1738916,11/04/2018,Vente,"193000,00",26.0,RUE,8430,DE STRASBOURG,51100.0,REIMS,51,454,CV,950,1,2.0,Appartement,34.0,2.0
1738917,11/04/2018,Vente,"193000,00",26.0,RUE,8430,DE STRASBOURG,51100.0,REIMS,51,454,CV,950,2,2.0,Appartement,40.0,2.0
1738918,06/04/2018,Vente,"110000,00",80.0,RUE,0610,BARON,51100.0,REIMS,51,454,CL,328,0,1.0,Maison,80.0,5.0
1738920,20/04/2018,Vente,"208000,00",12.0,RUE,5000,JOBERT LUCAS,51100.0,REIMS,51,454,AN,86,0,1.0,Maison,105.0,5.0
1738921,11/04/2018,Vente,"123800,00",2.0,RUE,3270,EMILE SENART,51100.0,REIMS,51,454,AY,412,2,2.0,Appartement,71.0,3.0
1738926,11/04/2018,Vente,"87000,00",26.0,RUE,8430,DE STRASBOURG,51100.0,REIMS,51,454,CV,950,2,2.0,Appartement,56.0,3.0
1738927,23/03/2018,Vente,"124000,00",38.0,RUE,9040,DE VESLE,51100.0,REIMS,51,454,IL,150,1,2.0,Appartement,41.0,2.0
1738929,06/04/2018,Vente,"428576,38",12.0,PL,1770,DU CHAPITRE,51100.0,REIMS,51,454,CX,16,3,2.0,Appartement,123.0,5.0
1738935,04/04/2018,Vente,"79660,00",27.0,BD,6690,DE LA PAIX,51100.0,REIMS,51,454,CK,128,2,2.0,Appartement,26.0,1.0
1738946,10/04/2018,Vente,"131100,00",11.0,RUE,4936,JEAN D ORBAIS,51100.0,REIMS,51,454,IK,1348,1,2.0,Appartement,60.0,2.0
1738948,06/04/2018,Vente,"104900,00",4.0,PL,7990,ST NICAISE,51100.0,REIMS,51,454,CZ,131,1,2.0,Appartement,22.0,2.0
1738949,06/04/2018,Vente,"104900,00",4.0,PL,7990,ST NICAISE,51100.0,REIMS,51,454,CZ,131,1,2.0,Appartement,17.0,2.0
1738950,06/04/2018,Vente,"104900,00",4.0,PL,7990,ST NICAISE,51100.0,REIMS,51,454,CZ,131,1,2.0,Appartement,17.0,2.0
1738954,17/04/2018,Vente,"229500,00",15.0,RUE,5050,JULES BRUNEAU,51100.0,REIMS,51,454,DT,876,0,1.0,Maison,92.0,4.0
1738955,04/04/2018,Vente,"22500,00",38.0,RUE,5650,DE LOUVOIS,51100.0,REIMS,51,454,DV,639,1,2.0,Appartement,37.0,1.0
1738959,29/03/2018,Vente,"70000,00",4.0,RUE,4014,GEORGES DUHAMEL,51100.0,REIMS,51,454,EY,941,0,1.0,Maison,84.0,4.0
1738960,06/04/2018,Vente,"50000,00",66.0,RUE,1670,DU CHAMP DE MARS,51100.0,REIMS,51,454,BI,590,1,2.0,Appartement,16.0,1.0
1738962,21/03/2018,Vente en l'état futur d'achèvement,"986000,00",21.0,RUE,4540,HENRI IV,51100.0,REIMS,51,454,IL,3,2,2.0,Appartement,147.0,5.0
1738965,11/04/2018,Vente,"110000,00",16.0,AV,4900,JEAN JAURES,51100.0,REIMS,51,454,CW,57,2,2.0,Appartement,45.0,2.0
1738979,04/04/2018,Vente,"135000,00",25.0,RUE,6760,PAUL ADAM,51100.0,REIMS,51,454,IK,196,3,2.0,Appartement,53.0,2.0
1739038,12/04/2018,Vente,"379000,00",125.0,RUE,9040,DE VESLE,51100.0,REIMS,51,454,IK,1346,2,2.0,Appartement,122.0,4.0
1739054,12/04/2018,Vente,"510000,00",58.0,BD,4760,JAMIN,51100.0,REIMS,51,454,BI,313,0,1.0,Maison,145.0,6.0
1739074,23/03/2018,Vente,"172000,00",61.0,RUE,5926,MARIE OGNOIS,51100.0,REIMS,51,454,BT,413,0,1.0,Maison,89.0,4.0
1739088,10/04/2018,Vente,"32000,00",54.0,RUE,1360,CAMILLE LENOIR,51100.0,REIMS,51,454,BH,151,1,2.0,Appartement,20.0,1.0
1739092,11/04/2018,Vente,"61000,00",5.0,PL,5900,MARGUERITE ROUSSELET,51100.0,REIMS,51,454,BI,662,2,2.0,Appartement,30.0,1.0
1739097,04/04/2018,Vente en l'état futur d'achèvement,"230770,00",65.0,RUE,6230,DU MONT D ARENE,51100.0,REIMS,51,454,AT,9,1,2.0,Appartement,62.0,3.0
1739102,04/04/2018,Vente,"85000,00",3.0,CHS,7970,SAINT MARTIN,51100.0,REIMS,51,454,DN,587,1,2.0,Appartement,56.0,3.0
1739104,06/04/2018,Vente en l'état futur d'achèvement,"133500,00",65.0,RUE,6230,DU MONT D ARENE,51100.0,REIMS,51,454,AT,9,1,2.0,Appartement,42.0,2.0
1739105,30/03/2018,Vente,"621750,00",5.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AW,331,0,2.0,Appartement,20.0,1.0
1739106,30/03/2018,Vente,"621750,00",5.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AW,331,0,2.0,Appartement,20.0,1.0
1739107,30/03/2018,Vente,"621750,00",5.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AW,331,0,2.0,Appartement,18.0,1.0
1739109,30/03/2018,Vente,"621750,00",5.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AW,331,0,2.0,Appartement,20.0,1.0
1739110,30/03/2018,Vente,"621750,00",5.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AW,331,0,2.0,Appartement,95.0,4.0
1739111,30/03/2018,Vente,"621750,00",5.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AW,331,0,2.0,Appartement,95.0,4.0
1739112,30/03/2018,Vente,"621750,00",5.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AW,331,0,2.0,Appartement,75.0,3.0
1739113,30/03/2018,Vente,"621750,00",5.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AW,331,0,2.0,Appartement,20.0,1.0
1739114,30/03/2018,Vente,"621750,00",5.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AW,331,0,2.0,Appartement,20.0,1.0
1739115,30/03/2018,Vente,"621750,00",5.0,RUE,5460,LESAGE,51100.0,REIMS,51,454,AW,331,0,2.0,Appartement,90.0,4.0
1739117,30/03/2018,Vente,"148000,00",85.0,BD,1800,CHARLES ARNOULD,51100.0,REIMS,51,454,AV,556,1,2.0,Appartement,62.0,3.0
1739119,16/04/2018,Vente,"85500,00",34.0,BD,9070,VICTOR HUGO,51100.0,REIMS,51,454,CZ,190,2,2.0,Appartement,45.0,2.0
1739122,13/04/2018,Vente,"230000,00",4.0,RUE,5930,MARIE STUART,51100.0,REIMS,51,454,CX,284,2,2.0,Appartement,100.0,3.0
1739123,13/04/2018,Vente,"49000,00",47.0,RUE,3570,DE FISMES,51100.0,REIMS,51,454,AR,894,1,2.0,Appartement,17.0,1.0
1739124,13/04/2018,Vente,"209350,00",3.0,COUR,2660,DAUPHINOT,51100.0,REIMS,51,454,BH,556,0,2.0,Appartement,18.0,1.0
1739125,13/04/2018,Vente,"209350,00",3.0,COUR,2660,DAUPHINOT,51100.0,REIMS,51,454,BH,556,0,2.0,Appartement,39.0,2.0
1739126,13/04/2018,Vente,"209350,00",3.0,COUR,2660,DAUPHINOT,51100.0,REIMS,51,454,BH,556,0,2.0,Appartement,31.0,1.0
1739131,13/04/2018,Vente,"160000,00",95.0,RUE,8090,SAINT THIERRY,51100.0,REIMS,51,454,AO,454,2,2.0,Appartement,104.0,4.0
1739137,30/03/2018,Vente,"207000,00",2.0,RUE,5730,MABILLON,51100.0,REIMS,51,454,BI,755,1,2.0,Appartement,77.0,3.0
1739139,11/04/2018,Vente,"45500,00",2.0,RUE,1720,DU CHANOINE LALLEMENT,51100.0,REIMS,51,454,DT,175,2,2.0,Appartement,36.0,1.0
1739141,30/03/2018,Vente,"155000,00",16.0,RUE,4035,GERARD PHILIPE,51100.0,REIMS,51,454,CI,67,2,2.0,Appartement,64.0,3.0
1739153,06/04/2018,Vente,"162000,00",35.0,RUE,3090,DURUY,51100.0,REIMS,51,454,AX,302,0,1.0,Maison,64.0,3.0
1739154,12/04/2018,Vente,"77000,00",76.0,BD,1800,CHARLES ARNOULD,51100.0,REIMS,51,454,AO,493,2,2.0,Appartement,53.0,2.0
1739158,11/04/2018,Vente,"25000,00",6.0,RUE,0150,D ALGER,51100.0,REIMS,51,454,CS,25,1,2.0,Appartement,40.0,2.0
