,Date mutation,Nature mutation,Valeur fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Section,No plan,Nombre de lots,Code type local,Type local,Surface reelle bati,Nombre pieces principales,Annee,Mois,Prix metre carre,Pays,Latitude,Longitude
42,2020-01-03,Vente,280000.0,6.0,RUE,1710,DE CHAMPIGNY,51100,REIMS,51,454,AR,291,0,2.0,Appartement,21.0,1.0,2020,1,13333.333333333334,France,49.2625058,4.0189528
44,2020-01-03,Vente,280000.0,6.0,RUE,1710,DE CHAMPIGNY,51100,REIMS,51,454,AR,291,0,2.0,Appartement,34.0,1.0,2020,1,8235.29411764706,France,49.2625058,4.0189528
45,2020-01-09,Vente,68700.0,59.0,BD,7550,ROBESPIERRE,51100,REIMS,51,454,AY,282,1,2.0,Appartement,30.0,2.0,2020,1,2290.0,France,49.2694537,4.0326337
46,2020-01-08,Vente,180000.0,10.0,RUE,8950,DE VENISE,51100,REIMS,51,454,IK,1335,1,2.0,Appartement,96.0,4.0,2020,1,1875.0,France,49.2489192,4.0361161
47,2020-01-20,Vente,105000.0,23.0,RUE,4620,HOUZEAU MUIRON,51100,REIMS,51,454,CW,516,1,2.0,Appartement,29.0,1.0,2020,1,3620.689655172414,France,49.2548846,4.0438334
48,2020-01-13,Vente,122000.0,3.0,RUE,8510,DE TAMBOUR,51100,REIMS,51,454,BE,278,2,2.0,Appartement,32.0,2.0,2020,1,3812.5,France,49.2568456,4.0332308
49,2020-01-10,Vente,262296.0,8.0,RUE,3060,DE DUNKERQUE,51100,REIMS,51,454,DR,99,0,1.0,Maison,102.0,5.0,2020,1,2571.529411764706,France,49.2355087,4.017405399999999
50,2020-01-07,Vente,137900.0,43.0,RUE,1830,CHARLIER,51100,REIMS,51,454,BI,265,1,2.0,Appartement,75.0,3.0,2020,1,1838.6666666666667,France,49.2622101,4.0475785
51,2020-01-03,Vente,195000.0,16.0,RUE,1920,DE CHEVIGNE,51100,REIMS,51,454,CW,608,1,2.0,Appartement,140.0,4.0,2020,1,1392.857142857143,France,49.25529909999999,4.048412799999999
52,2020-01-06,Vente,269200.0,56.0,RUE,1360,CAMILLE LENOIR,51100,REIMS,51,454,BH,553,2,2.0,Appartement,78.0,3.0,2020,1,3451.2820512820513,France,49.2610511,4.041400299999999
53,2020-01-10,Vente,850000.0,193.0,RUE,9040,DE VESLE,51100,REIMS,51,454,HZ,1,0,2.0,Appartement,55.0,3.0,2020,1,15454.545454545454,France,49.2510591,4.0225374
